Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Deaths
Hubei,Mainland China,1/25/2020 10:00 pm,1052,,42,52
Zhejiang,Mainland China,1/25/2020 10:00 pm,104,,1,
Guangdong,Mainland China,1/25/2020 12:00 pm,98,,2,
Henan,Mainland China,1/25/2020 12:00 pm,83,3,,1
Chongqing,Mainland China,1/25/2020 12:00 pm,75,,,
Hunan,Mainland China,1/25/2020 12:00 pm,69,,,
Anhui,Mainland China,1/25/2020 12:00 pm,60,4,,
Beijing,Mainland China,1/25/2020 12:00 pm,51,,2,
Sichuan,Mainland China,1/25/2020 12:00 pm,44,4,,
Shanghai,Mainland China,1/25/2020 12:00 pm,40,72,1,1
Shandong,Mainland China,1/25/2020 12:00 pm,39,,,
Jiangxi,Mainland China,1/25/2020 12:00 pm,36,,,
Guangxi,Mainland China,1/25/2020 12:00 pm,33,,,
Jiangsu,Mainland China,1/25/2020 12:00 pm,31,,1,
Hainan,Mainland China,1/25/2020 12:00 pm,19,,,
Liaoning,Mainland China,1/25/2020 12:00 pm,19,,,
Fujian,Mainland China,1/25/2020 12:00 pm,18,20,,1
Heilongjiang,Mainland China,1/25/2020 12:00 pm,15,,,
Shaanxi,Mainland China,1/25/2020 12:00 pm,15,,,
Tianjin,Mainland China,1/25/2020 12:00 pm,13,,,
Hebei,Mainland China,1/25/2020 12:00 pm,13,,,1
Yunnan,Mainland China,1/25/2020 12:00 pm,11,58,,
Shanxi,Mainland China,1/25/2020 12:00 pm,9,,,
Inner Mongolia,Mainland China,1/25/2020 12:00 pm,7,,,
Gansu,Mainland China,1/25/2020 12:00 pm,7,,,
Guizhou,Mainland China,1/25/2020 12:00 pm,5,,,
Hong Kong,Hong Kong,1/25/2020 12:00 pm,5,244,,
Ningxia,Mainland China,1/25/2020 12:00 pm,4,1,,
Jilin,Mainland China,1/25/2020 12:00 pm,4,,,
Xinjiang,Mainland China,1/25/2020 12:00 pm,4,,,
Taiwan,Taiwan,1/25/2020 12:00 pm,3,,,
Macau,Macau,1/25/2020 12:00 pm,2,,,
Qinghai,Mainland China,1/25/2020 12:00 pm,1,,,
Washington,US,1/25/2020 12:00 pm,1,,,
Illinois,US,1/25/2020 12:00 pm,1,,,
,Japan,1/25/2020 12:00 pm,2,,,
,Thailand,1/25/2020 12:00 pm,7,,,
,South Korea,1/25/2020 12:00 pm,3,,,
,Singapore,1/25/2020 12:00 pm,3,,,
,Vietnam,1/25/2020 12:00 pm,2,,,
,France,1/25/2020 12:00 pm,3,,,
,Australia,1/25/2020 12:00 pm,4,,,
,Nepal,1/25/2020 12:00 pm,1,,,
,Malaysia,1/25/2020 12:00 pm,3,,,
